id,label,weight,probative_factor,reason
process_before_object,Process/operation before finished object,2,0.65,"Unusual foundational ordering, but broad philosophical antecedents exist."
retrospective_objecthood,Objecthood only after stable recovery,2,0.75,Functional role more distinctive than generic process language.
realization_gate,Formal structure does not become physics without realization,5,1.0,Central supplied-audit objection and later OPH governance role.
local_conditions,Local conditions/carrier required for physical meaning,3,0.85,Specific source-to-physics typing requirement.
record_closure,System -> interaction -> record -> reconstruction -> observable,5,0.95,Distinctive scientific closure discipline.
physical_calibration_gate,No physical/quantitative promotion without calibration/readout,5,1.0,Load-bearing promotion gate.
dynamics_before_action,Dynamics/history primary; action downstream,5,1.0,Cleanest post-contact architectural convergence.
action_equivalence_class,Action non-unique within an equivalence/gauge class,5,1.0,Specific ordering and explanatory role.
admissible_history_first,Admissible history fixed before minimization,5,1.0,Specific information-first ordering.
informational_minimizer,Informational minimizer inside admissible histories,4,0.9,Distinctive middle step.
physical_action_after_information,Physical action representative only after informational sufficiency,5,1.0,Load-bearing bridge ordering.
countermodel_uniqueness,Same source / alternative realization defeats uniqueness,5,1.0,Exact function of supplied featureless countermodel.
premise_ancestry,Machine-tracked premise/source ancestry,4,0.9,Programme-wide research governance shift.
claim_status_discipline,Proved/conditional/open/withdrawn status ledger,4,0.85,Close methodological function; some OPH caveats pre-existed.
no_privilege_candidate_selection,Freeze candidate class and reject visually attractive promotion,4,0.9,Close to supplied audit discipline.
alternative_completions,Equal-budget alternatives and incompatible completions,4,0.85,Countermodel/uniqueness function.
observer_history_vs_index,Observer accumulated history distinct from index/base position,5,0.95,Substantive observer-time role documented before later waves.
proper_time_accumulation,Proper-length/proper-time accrual as retained observer quantity,5,0.95,Strong functional match; standard relativity machinery is inherited.
force_current_hamiltonian_gap,Force/current/Hamiltonian/dynamics identified as missing bridge,5,1.0,"Explicitly raised in supplied audit, then targeted in later waves."
open_rows_no_promotion,Open rows tracked; no promotion/discharge without bridge,5,0.95,Repeated later OPH module language matches prior audit grammar.
explicit_falsifier,Every module/claim carries explicit falsifier,3,0.75,Good scientific practice generally; lower provenance weight.
compression_generators,Compress corpus into few generating moves/bridges,3,0.8,Programme-level explanatory compression.
self_description_record_loop,Self-description/record loop as architecture,3,0.55,OPH observer language predates audit; contextual only.
golden_role_grammar,Golden split tied to role grammar,1,0.2,OPH has independent icosahedral/A5 golden ancestry; negative-control weight.
weight_before_probability,Weight before probability,1,0.1,Excluded: OPH Born lane predates relevant contact.
role_typed_geometry,Typed role decomposition / Lorentz geometry,1,0.1,Excluded: OPH Lorentz branch predates relevant contact.
chiral_mixing_downstream,Chiral mixing/mass downstream of dynamics,1,0.25,Partial overlap but OPH has pre-August Yukawa/mixing work.
