id,internal_date,roles,sha256,public_status
P-001,2026-07,"[""process_before_object"", ""retrospective_objecthood""]",22b3dca922793ed20f8d5fb5fc54073639867496c63f3b4282f709ba46e6bd6e,not included; unredacted original retained privately
P-002,2026-07-14,"[""realization_gate"", ""local_conditions"", ""self_description_record_loop""]",94c037a5a23f872b2bda6c232f42a70dd258b13a75d4fc7a201957c55ee1b29c,not included; unredacted original retained privately
P-003,2026-07,"[""record_closure"", ""physical_calibration_gate"", ""claim_status_discipline""]",c7d276f93c9cfb20cd8329c1bec3c555e0272f4a2636dcb3e992fd184a30b8cf,not included; unredacted original retained privately
P-004,2026-07,"[""dynamics_before_action"", ""action_equivalence_class"", ""chiral_mixing_downstream""]",f5c00ff69073d5fdf9808ac3ea17e83c23d23c28e2bd68900d8f67e8dc3cafc7,not included; unredacted original retained privately
P-005,2026-07-28,"[""observer_history_vs_index"", ""proper_time_accumulation""]",1a159b2b328b01e07c59b9dd815fa262e6dc5004af4f29453f6614e29187f150,not included; unredacted original retained privately
P-006,2026-07-31,"[""admissible_history_first"", ""informational_minimizer"", ""physical_action_after_information""]",5f2765e126f7768db367d924489f939f6fd6ffed738f70bc59f35858b09fedac,not included; unredacted original retained privately
P-007,2026-08-02,"[""countermodel_uniqueness"", ""force_current_hamiltonian_gap"", ""realization_gate""]",cc92028605d8ec584017b5c36ef50773bd30575fd671bd40403c9b6e047e8273,anonymized mathematical reconstruction included separately
P-008,2026-07,"[""process_before_object"", ""admissible_history_first"", ""claim_status_discipline""]",73a67259e18d06c78fa55bf4e2ecd41759949feed8a5fb6b1fd654dc584027bb,not included; unredacted original retained privately
P-009,2026-07,"[""process_before_object"", ""record_closure"", ""retrospective_objecthood""]",dcbb35020ad19b1744075c2464bd8cc703176b72ff851dbc5ca8c72a33e863a3,not included; unredacted original retained privately
P-010,2026-07,"[""role_typed_geometry"", ""observer_history_vs_index""]",b7f81585c7b09afcdb5ca2c5f0d3cb30e2dc76bd36470d8c1ff1ba8628121319,not included; unredacted original retained privately
P-011,2026-08-04,"[""weight_before_probability""]",e3bba34603b8e942110176e6d7decf5f4edccb106a44a49c16869feed89779d5,not included; unredacted original retained privately
