id,date,sha,title,roles,grade,note
O-001,2026-04-16,15dc8c30dcc78b55c5a8fa5de99652c6a72771e4,Older Born-rule antecedent,"[""weight_before_probability""]",X / exclusion,Retained as a negative control; generic Born provenance is not alleged.
O-002,2026-07-12,8051af7bf7b270b48d53bb9837e34a6fff8eb8a6,Older Lorentz/event-manifold branch,"[""role_typed_geometry""]",X / exclusion,Retained as a negative control; 3D/Lorentz provenance is not alleged.
O-003,2026-07-22/28,33176a44b0769927644b61a4770da92b03475d9e,Pre-August Yukawa/mixing antecedents,"[""chiral_mixing_downstream""]",C / context,Generic flavor/mixing interest is not a standalone provenance claim.
O-004,2026-08-01,23c6a0baccafc6dc22dd5e1c252e5209001fb6a3,Pre-audit theorem/realization caveats,"[""realization_gate"", ""claim_status_discipline""]",antecedent,Shows OPH had some caveat machinery before the supplied audit.
O-005,2026-08-02,58a00d2561e00f2a30252f53816b524e50c9dc38,Finite Markov path-law receipt,"[""admissible_history_first""]",substrate,Precedes least-action/action-class promotion.
O-006,2026-08-05,c010e0aa2844bfca6c8496ad85bd73b60c8f0af9,History-level least action,"[""admissible_history_first"", ""informational_minimizer"", ""physical_action_after_information""]",B/C,"Complete-history projection becomes effective action, modal least action, Euler-Lagrange and Noether; scope says no physical action or clock."
O-007,2026-08-06,e668e7838220b02e4020e5bd343cf0cc63b1febb,Finite Stone/Hamiltonian rigidity,"[""force_current_hamiltonian_gap""]",context,Hamiltonian forcing added after the supplied audit period.
O-008,2026-08-07,cecf13425072d12765581177272e4d141bd99756,Source dynamics selects action; Legendre bridge,"[""dynamics_before_action"", ""action_equivalence_class"", ""physical_action_after_information""]",B / strongest,Clean post-contact architectural match; exact theorem differs from prior inverse-variational class.
O-009,2026-08-07,7f57d4df13a28442716c71d00b6b6d39bd6940b6,History action bound to gauge kinetic form,"[""physical_action_after_information""]",downstream,OPH-specific extension of newly landed action machinery.
O-010,2026-08-07,c3917457857a3d5636d48db83e88bdbf9f112172,Mechanics cluster promoted to headline,"[""compression_generators"", ""claim_status_discipline""]",programme salience,Promotes forced dynamics/Born weights/derived action as compact-proof receipt.
O-011,2026-08-12,a29784c187e47ab201e2a35074e41900db3e3f39,V3 ledgers and premise register,"[""premise_ancestry"", ""claim_status_discipline"", ""record_closure""]",B/C,"Observation, premise and Lagrangian correspondence infrastructure."
O-012,2026-08-12/13,9c1dd24728218966705b82a900ec2ba966d57394,Public V3 audit-register snapshot,"[""premise_ancestry"", ""claim_status_discipline"", ""alternative_completions""]",direct public fact,Records separated AI reviewer contexts and explicitly disclaims external scientific replication.
O-013,2026-08-13,627298d3cacf602214b36688a67d3e7008e47101,Audit register and authorship snapshot removed,"[""premise_ancestry"", ""claim_status_discipline""]",context only,"Stated reasons: lack of active consumers, staleness and privacy; no concealment motive inferred."
O-014,2026-08-14/17,1fe5063da4caa5093fa2ebab00b8f7cab34390d4,"V3 governance, no-privilege and record-centered presentation","[""realization_gate"", ""record_closure"", ""no_privilege_candidate_selection"", ""countermodel_uniqueness"", ""open_rows_no_promotion"", ""self_description_record_loop""]",B/C,Programme-wide methodological convergence in functional roles.
O-015,2026-08-25T20:50:07Z,4bc014ab838bf98b1d8c0b517c087d7df10ce73e,Core-physics wave,"[""observer_history_vs_index"", ""force_current_hamiltonian_gap"", ""open_rows_no_promotion"", ""physical_calibration_gate""]",new context,"Recurrence clock, charge-fixed interaction, inertia precursor and local energy balance; nothing discharged."
O-016,2026-08-26T08:22:16Z,fe4c9579a69ac39895cb651cffe27acbfa75e5b5,Flagship rebuilt around compression thesis,"[""compression_generators"", ""realization_gate"", ""open_rows_no_promotion""]",programme salience,Frames three axioms/twelve-port screen as compression of observed physics while naming five standing unsupplied maps.
O-017,2026-08-26T09:30:49Z,864051be4c4f6363af3553c515c00bfb144c2455,"V3.33 force, speed, clock and golden wave","[""observer_history_vs_index"", ""proper_time_accumulation"", ""force_current_hamiltonian_gap"", ""open_rows_no_promotion"", ""explicit_falsifier"", ""golden_role_grammar""]",high-context wave,"Adds force balance, speed limit, index/proper-length clock distinction and golden split with declared-identification/open-row grammar."
O-018,2026-08-26T10:50:05Z,05207466cf63461c683bf1b8543d7c4a5feea4fa,"V3.34 proper-length clock, force and carrier-flow wave","[""observer_history_vs_index"", ""proper_time_accumulation"", ""force_current_hamiltonian_gap"", ""open_rows_no_promotion"", ""explicit_falsifier""]",high-context wave,"Adds proper-length-clocked chain, in-block force law, golden irreducibility and continuous energy-preserving carrier flow."
